Date,Adj Close
2015-07-06,36.709999
2015-07-07,36.619999
2015-07-08,34.700001
2015-07-09,34.5
2015-07-10,34.689999
2015-07-13,36.779999
2015-07-14,36.93
2015-07-15,37.509998
2015-07-16,38.630001
2015-07-17,38.389999
2015-07-20,40.470001
2015-07-21,39.349998
2015-07-22,38.389999
2015-07-23,37.009998
2015-07-24,37.0
2015-07-27,36.389999
2015-07-28,37.599998
2015-07-29,37.950001
2015-07-30,38.450001
2015-07-31,38.700001
2015-08-03,39.389999
2015-08-04,38.950001
2015-08-05,39.27
2015-08-06,38.849998
2015-08-07,39.130001
2015-08-10,39.049999
2015-08-11,38.849998
2015-08-12,38.189999
2015-08-13,37.619999
2015-08-14,38.139999
2015-08-17,38.73
2015-08-18,37.990002
2015-08-19,37.189999
2015-08-20,35.98
2015-08-21,34.25
2015-08-24,33.75
2015-08-25,32.700001
2015-08-26,33.169998
2015-08-27,34.619999
2015-08-28,35.040001
2015-08-31,35.0
2015-09-01,33.77
2015-09-02,35.07
2015-09-03,35.310001
2015-09-04,34.290001
2015-09-08,34.700001
2015-09-09,34.369999
2015-09-10,33.459999
2015-09-11,33.549999
2015-09-14,33.77
2015-09-15,33.799999
2015-09-16,33.77
2015-09-17,33.32
2015-09-18,32.919998
2015-09-21,34.25
2015-09-22,33.349998
2015-09-23,34.16
2015-09-24,33.91
2015-09-25,33.77
2015-09-28,32.25
2015-09-29,30.629999
2015-09-30,31.040001
2015-10-01,31.48
2015-10-02,32.830002
2015-10-05,32.669998
2015-10-06,31.860001
2015-10-07,32.380001
2015-10-08,31.67
2015-10-09,32.060001
2015-10-12,32.630001
2015-10-13,33.220001
2015-10-14,34.049999
2015-10-15,34.619999
2015-10-16,34.290001
2015-10-19,34.84
2015-10-20,34.869999
2015-10-21,33.830002
2015-10-22,34.790001
2015-10-23,34.990002
2015-10-26,36.439999
2015-10-27,35.939999
2015-10-28,36.52
2015-10-29,35.91
2015-10-30,36.009998
2015-11-02,36.990002
2015-11-03,37.900002
2015-11-04,37.599998
2015-11-05,36.709999
2015-11-06,36.240002
2015-11-09,36.599998
2015-11-10,37.0
2015-11-11,36.330002
2015-11-12,35.57
2015-11-13,34.529999
2015-11-16,35.610001
2015-11-17,36.209999
2015-11-18,36.220001
2015-11-19,36.189999
2015-11-20,36.360001
2015-11-23,35.560001
2015-11-24,35.119999
2015-11-25,35.360001
2015-11-27,35.18
2015-11-30,35.259998
2015-12-01,35.169998
2015-12-02,35.150002
2015-12-03,34.23
2015-12-04,35.619999
2015-12-07,35.16
2015-12-08,35.599998
2015-12-09,35.07
2015-12-10,35.490002
2015-12-11,34.689999
2015-12-14,35.009998
2015-12-15,36.32
2015-12-16,35.98
2015-12-17,35.540001
2015-12-18,34.98
2015-12-21,36.080002
2015-12-22,36.805
2015-12-23,37.110001
2015-12-24,37.07
2015-12-28,36.610001
2015-12-29,37.080002
2015-12-30,36.48
2015-12-31,36.200001
2016-01-04,34.75
2016-01-05,34.310001
2016-01-06,33.98
2016-01-07,33.130001
2016-01-08,32.689999
2016-01-11,33.040001
2016-01-12,33.080002
2016-01-13,32.119999
2016-01-14,32.869999
2016-01-15,32.310001
2016-01-19,32.200001
2016-01-20,31.200001
2016-01-21,31.200001
2016-01-22,31.690001
2016-01-25,31.469999
2016-01-26,31.969999
2016-01-27,31.59
2016-01-28,34.240002
2016-01-29,36.139999
2016-02-01,37.080002
2016-02-02,36.830002
2016-02-03,37.009998
2016-02-04,37.169998
2016-02-05,35.07
2016-02-08,33.610001
2016-02-09,32.700001
2016-02-10,32.900002
2016-02-11,33.52
2016-02-12,34.299999
2016-02-16,35.459999
2016-02-17,36.360001
2016-02-18,36.310001
2016-02-19,35.759998
2016-02-22,36.0
2016-02-23,35.48
2016-02-24,36.470001
2016-02-25,36.740002
2016-02-26,37.490002
2016-02-29,38.139999
2016-03-01,39.25
2016-03-02,39.16
2016-03-03,39.02
2016-03-04,39.040001
2016-03-07,38.98
2016-03-08,38.16
2016-03-09,38.57
2016-03-10,38.490002
2016-03-11,39.490002
2016-03-14,39.380001
2016-03-15,39.27
2016-03-16,39.84
2016-03-17,39.93
2016-03-18,39.41
2016-03-21,41.139999
2016-03-22,41.32
2016-03-23,40.52
2016-03-24,38.919998
2016-03-28,38.740002
2016-03-29,39.529999
2016-03-30,39.040001
2016-03-31,38.599998
2016-04-01,39.400002
2016-04-04,38.790001
2016-04-05,38.549999
2016-04-06,39.16
2016-04-07,38.279999
2016-04-08,38.41
2016-04-11,38.060001
2016-04-12,37.799999
2016-04-13,38.790001
2016-04-14,38.639999
2016-04-15,38.580002
2016-04-18,39.639999
2016-04-19,39.240002
2016-04-20,40.080002
2016-04-21,40.099998
2016-04-22,40.310001
2016-04-25,39.82
2016-04-26,39.73
2016-04-27,40.009998
2016-04-28,40.07
2016-04-29,39.18
2016-05-02,39.02
2016-05-03,38.360001
2016-05-04,38.310001
2016-05-05,38.950001
2016-05-06,39.48
2016-05-09,39.619999
2016-05-10,40.110001
2016-05-11,39.709999
2016-05-12,39.509998
2016-05-13,39.48
2016-05-16,39.299999
2016-05-17,39.064999
2016-05-18,38.98
2016-05-19,37.650002
2016-05-20,37.529999
2016-05-23,38.07
2016-05-24,38.919998
2016-05-25,38.759998
2016-05-26,38.07
2016-05-27,38.09
2016-05-31,37.790001
2016-06-01,38.310001
2016-06-02,38.560001
2016-06-03,38.330002
2016-06-06,38.099998
2016-06-07,37.57
2016-06-08,37.549999
2016-06-09,37.130001
2016-06-10,36.77
2016-06-13,36.540001
2016-06-14,37.16
2016-06-15,36.84
2016-06-16,36.970001
2016-06-17,36.970001
2016-06-20,36.860001
2016-06-21,36.16
2016-06-22,36.0
2016-06-23,36.66
2016-06-24,35.080002
2016-06-27,34.200001
2016-06-28,35.240002
2016-06-29,35.77
2016-06-30,36.509998
2016-07-01,36.349998
2016-07-05,36.119999
2016-07-06,35.93
2016-07-07,36.32
2016-07-08,37.360001
2016-07-11,38.150002
2016-07-12,38.790001
2016-07-13,39.279999
2016-07-14,39.959999
2016-07-15,39.09
2016-07-18,38.919998
2016-07-19,39.369999
2016-07-20,40.049999
2016-07-21,40.130001
2016-07-22,37.419998
2016-07-25,37.779999
2016-07-26,37.689999
2016-07-27,37.220001
2016-07-28,37.220001
2016-07-29,37.240002
2016-08-01,37.060001
2016-08-02,36.540001
2016-08-03,36.580002
2016-08-04,37.299999
2016-08-05,38.099998
2016-08-08,37.91
2016-08-09,38.099998
2016-08-10,38.07
2016-08-11,38.459999
2016-08-12,38.509998
2016-08-15,38.459999
2016-08-16,38.380001
2016-08-17,38.139999
2016-08-18,38.220001
2016-08-19,38.09
2016-08-22,38.110001
2016-08-23,37.860001
2016-08-24,37.52
2016-08-25,37.509998
2016-08-26,37.650002
2016-08-29,37.290001
2016-08-30,37.0
2016-08-31,37.150002
2016-09-01,36.830002
2016-09-02,37.07
2016-09-06,37.18
2016-09-07,38.560001
2016-09-08,39.27
2016-09-09,38.009998
2016-09-12,38.77
2016-09-13,39.860001
2016-09-14,39.959999
2016-09-15,40.830002
2016-09-16,40.700001
2016-09-19,40.009998
2016-09-20,39.689999
2016-09-21,40.290001
2016-09-22,40.490002
2016-09-23,40.07
2016-09-26,40.34
2016-09-27,41.060001
2016-09-28,40.970001
2016-09-29,40.389999
2016-09-30,40.970001
2016-10-03,40.59
2016-10-04,40.779999
2016-10-05,40.439999
2016-10-06,40.18
2016-10-07,39.880001
2016-10-10,39.860001
2016-10-11,39.189999
2016-10-12,39.529999
2016-10-13,39.200001
2016-10-14,39.240002
2016-10-17,39.48
2016-10-18,39.830002
2016-10-19,40.240002
2016-10-20,40.09
2016-10-21,44.150002
2016-10-24,43.869999
2016-10-25,43.310001
